I, V, P
0,5.38,0
0.005196,5.3785,0.027947
0.010392,5.3769,0.055877
0.015588,5.3754,0.083792
0.020784,5.3739,0.11169
0.02598,5.3723,0.13957
0.031176,5.3708,0.16744
0.036372,5.3692,0.19529
0.041568,5.3677,0.22312
0.046764,5.3662,0.25094
0.05196,5.3646,0.27875
0.057156,5.3631,0.30653
0.062352,5.3616,0.3343
0.067548,5.36,0.36206
0.072744,5.3585,0.3898
0.07794,5.3569,0.41752
0.083136,5.3554,0.44523
0.088332,5.3539,0.47292
0.093528,5.3523,0.50059
0.098724,5.3508,0.52825
0.10392,5.3492,0.55589
0.10912,5.3477,0.58352
0.11431,5.3461,0.61113
0.11951,5.3446,0.63872
0.1247,5.3431,0.6663
0.1299,5.3415,0.69386
0.1351,5.34,0.72141
0.14029,5.3384,0.74894
0.14549,5.3369,0.77645
0.15068,5.3353,0.80395
0.15588,5.3338,0.83143
0.16108,5.3322,0.8589
0.16627,5.3307,0.88635
0.17147,5.3291,0.91378
0.17666,5.3276,0.9412
0.18186,5.3261,0.9686
0.18706,5.3245,0.99598
0.19225,5.323,1.0233
0.19745,5.3214,1.0507
0.20264,5.3199,1.078
0.20784,5.3183,1.1054
0.21304,5.3168,1.1327
0.21823,5.3152,1.1599
0.22343,5.3137,1.1872
0.22862,5.3121,1.2145
0.23382,5.3105,1.2417
0.23902,5.309,1.2689
0.24421,5.3074,1.2961
0.24941,5.3059,1.3233
0.2546,5.3043,1.3505
0.2598,5.3028,1.3777
0.265,5.3012,1.4048
0.27019,5.2997,1.4319
0.27539,5.2981,1.459
0.28058,5.2966,1.4861
0.28578,5.295,1.5132
0.29098,5.2934,1.5403
0.29617,5.2919,1.5673
0.30137,5.2903,1.5943
0.30656,5.2888,1.6213
0.31176,5.2872,1.6483
0.31696,5.2856,1.6753
0.32215,5.2841,1.7023
0.32735,5.2825,1.7292
0.33254,5.281,1.7561
0.33774,5.2794,1.7831
0.34294,5.2778,1.81
0.34813,5.2763,1.8368
0.35333,5.2747,1.8637
0.35852,5.2731,1.8905
0.36372,5.2716,1.9174
0.36892,5.27,1.9442
0.37411,5.2684,1.971
0.37931,5.2669,1.9978
0.3845,5.2653,2.0245
0.3897,5.2637,2.0513
0.3949,5.2622,2.078
0.40009,5.2606,2.1047
0.40529,5.259,2.1314
0.41048,5.2575,2.1581
0.41568,5.2559,2.1848
0.42088,5.2543,2.2114
0.42607,5.2527,2.238
0.43127,5.2512,2.2647
0.43646,5.2496,2.2913
0.44166,5.248,2.3178
0.44686,5.2464,2.3444
0.45205,5.2449,2.371
0.45725,5.2433,2.3975
0.46244,5.2417,2.424
0.46764,5.2401,2.4505
0.47284,5.2386,2.477
0.47803,5.237,2.5034
0.48323,5.2354,2.5299
0.48842,5.2338,2.5563
0.49362,5.2322,2.5827
0.49882,5.2306,2.6091
0.50401,5.2291,2.6355
0.50921,5.2275,2.6619
0.5144,5.2259,2.6882
0.5196,5.2243,2.7146
0.5248,5.2227,2.7409
0.52999,5.2211,2.7672
0.53519,5.2195,2.7934
0.54038,5.218,2.8197
0.54558,5.2164,2.8459
0.55078,5.2148,2.8722
0.55597,5.2132,2.8984
0.56117,5.2116,2.9246
0.56636,5.21,2.9508
0.57156,5.2084,2.9769
0.57676,5.2068,3.0031
0.58195,5.2052,3.0292
0.58715,5.2036,3.0553
0.59234,5.202,3.0814
0.59754,5.2004,3.1075
0.60274,5.1988,3.1335
0.60793,5.1972,3.1596
0.61313,5.1956,3.1856
0.61832,5.194,3.2116
0.62352,5.1924,3.2376
0.62872,5.1908,3.2636
0.63391,5.1892,3.2895
0.63911,5.1876,3.3154
0.6443,5.186,3.3414
0.6495,5.1844,3.3673
0.6547,5.1828,3.3931
0.65989,5.1812,3.419
0.66509,5.1796,3.4449
0.67028,5.178,3.4707
0.67548,5.1763,3.4965
0.68068,5.1747,3.5223
0.68587,5.1731,3.5481
0.69107,5.1715,3.5739
0.69626,5.1699,3.5996
0.70146,5.1683,3.6253
0.70666,5.1666,3.651
0.71185,5.165,3.6767
0.71705,5.1634,3.7024
0.72224,5.1618,3.7281
0.72744,5.1602,3.7537
0.73264,5.1585,3.7793
0.73783,5.1569,3.8049
0.74303,5.1553,3.8305
0.74822,5.1536,3.8561
0.75342,5.152,3.8816
0.75862,5.1504,3.9072
0.76381,5.1487,3.9327
0.76901,5.1471,3.9582
0.7742,5.1455,3.9836
0.7794,5.1438,4.0091
0.7846,5.1422,4.0345
0.78979,5.1406,4.06
0.79499,5.1389,4.0854
0.80018,5.1373,4.1108
0.80538,5.1356,4.1361
0.81058,5.134,4.1615
0.81577,5.1323,4.1868
0.82097,5.1307,4.2121
0.82616,5.129,4.2374
0.83136,5.1274,4.2627
0.83656,5.1257,4.288
0.84175,5.1241,4.3132
0.84695,5.1224,4.3384
0.85214,5.1208,4.3636
0.85734,5.1191,4.3888
0.86254,5.1174,4.414
0.86773,5.1158,4.4391
0.87293,5.1141,4.4642
0.87812,5.1124,4.4893
0.88332,5.1108,4.5144
0.88852,5.1091,4.5395
0.89371,5.1074,4.5646
0.89891,5.1057,4.5896
0.9041,5.1041,4.6146
0.9093,5.1024,4.6396
0.9145,5.1007,4.6646
0.91969,5.099,4.6895
0.92489,5.0973,4.7145
0.93008,5.0956,4.7394
0.93528,5.0939,4.7643
0.94048,5.0923,4.7891
0.94567,5.0906,4.814
0.95087,5.0889,4.8388
0.95606,5.0872,4.8637
0.96126,5.0855,4.8884
0.96646,5.0838,4.9132
0.97165,5.082,4.938
0.97685,5.0803,4.9627
0.98204,5.0786,4.9874
0.98724,5.0769,5.0121
0.99244,5.0752,5.0368
0.99763,5.0735,5.0615
1.0028,5.0717,5.0861
1.008,5.07,5.1107
1.0132,5.0683,5.1353
1.0184,5.0666,5.1599
1.0236,5.0648,5.1844
1.0288,5.0631,5.2089
1.034,5.0613,5.2334
1.0392,5.0596,5.2579
1.0444,5.0578,5.2824
1.0496,5.0561,5.3068
1.0548,5.0543,5.3312
1.06,5.0526,5.3556
1.0652,5.0508,5.38
1.0704,5.049,5.4044
1.0756,5.0473,5.4287
1.0808,5.0455,5.453
1.086,5.0437,5.4773
1.0912,5.0419,5.5016
1.0964,5.0401,5.5258
1.1016,5.0384,5.55
1.1067,5.0366,5.5742
1.1119,5.0348,5.5984
1.1171,5.033,5.6225
1.1223,5.0311,5.6466
1.1275,5.0293,5.6707
1.1327,5.0275,5.6948
1.1379,5.0257,5.7188
1.1431,5.0239,5.7429
1.1483,5.022,5.7669
1.1535,5.0202,5.7908
1.1587,5.0183,5.8148
1.1639,5.0165,5.8387
1.1691,5.0146,5.8626
1.1743,5.0127,5.8864
1.1795,5.0109,5.9103
1.1847,5.009,5.9341
1.1899,5.0071,5.9579
1.1951,5.0052,5.9816
1.2003,5.0033,6.0054
1.2055,5.0014,6.0291
1.2107,4.9995,6.0527
1.2159,4.9976,6.0764
1.2211,4.9956,6.1
1.2263,4.9937,6.1235
1.2315,4.9917,6.1471
1.2366,4.9898,6.1706
1.2418,4.9878,6.1941
1.247,4.9858,6.2175
1.2522,4.9838,6.2409
1.2574,4.9818,6.2643
1.2626,4.9798,6.2877
1.2678,4.9778,6.311
1.273,4.9758,6.3342
1.2782,4.9737,6.3575
1.2834,4.9716,6.3807
1.2886,4.9696,6.4038
1.2938,4.9675,6.4269
1.299,4.9654,6.45
1.3042,4.9632,6.473
1.3094,4.9611,6.496
1.3146,4.959,6.519
1.3198,4.9568,6.5419
1.325,4.9546,6.5647
1.3302,4.9524,6.5875
1.3354,4.9501,6.6103
1.3406,4.9479,6.6329
1.3458,4.9456,6.6556
1.351,4.9433,6.6781
1.3562,4.9409,6.7007
1.3614,4.9385,6.7231
1.3665,4.9361,6.7455
1.3717,4.9337,6.7678
1.3769,4.9312,6.79
1.3821,4.9287,6.8122
1.3873,4.9262,6.8342
1.3925,4.9236,6.8562
1.3977,4.9209,6.8781
1.4029,4.9182,6.8999
1.4081,4.9155,6.9216
1.4133,4.9127,6.9431
1.4185,4.9098,6.9645
1.4237,4.9068,6.9858
1.4289,4.9037,7.007
1.4341,4.9006,7.0279
1.4393,4.8973,7.0487
1.4445,4.8939,7.0692
1.4497,4.8904,7.0895
1.4549,4.8867,7.1096
1.4601,4.8828,7.1293
1.4653,4.8787,7.1486
1.4705,4.8743,7.1675
1.4757,4.8696,7.1859
1.4809,4.8644,7.2035
1.4861,4.8587,7.2203
1.4913,4.8522,7.2359
1.4964,4.8447,7.2498
1.5016,4.8355,7.2612
1.5068,4.8235,7.2682
1.512,4.8053,7.2657
1.5172,4.7621,7.2253
1.5224,4.3187,6.575
1.5276,3.7018,5.6549
1.5328,3.0848,4.7285
1.538,2.4679,3.7956
1.5432,1.8509,2.8563
1.5484,1.2339,1.9106
1.5536,0.61696,0.95852
1.5588,0,0
